algorithm_name,scenario,env_n,states_n,actions_count,actions_cost,native_cost,time,solution_found
DLS(100),HORIZ_CHEAP,4,112741,99,342,342,0.11053377300004286,True
DLS(100),HORIZ_CHEAP,5,23881,100,208,208,0.023012580999875354,True
DLS(100),HORIZ_CHEAP,6,63486,100,280,280,0.06236738100005823,True
DLS(100),HORIZ_CHEAP,7,134101,0,0,0,0.13284652700031074,False
DLS(100),HORIZ_CHEAP,8,45562,100,334,334,0.04431399599980068,True
DLS(100),HORIZ_CHEAP,9,2012,96,177,177,0.0018950449998555996,True
DLS(100),HORIZ_CHEAP,10,113567,100,433,433,0.11665923700002168,True
DLS(100),HORIZ_CHEAP,11,150771,0,0,0,0.14855091600020387,False
DLS(100),HORIZ_CHEAP,12,59841,99,261,261,0.058591088999946805,True
DLS(100),HORIZ_CHEAP,13,131498,100,460,460,0.12964478599997165,True
DLS(100),HORIZ_CHEAP,14,19875,99,513,513,0.019126290999793127,True
DLS(100),HORIZ_CHEAP,15,14535,100,226,226,0.013901800999974512,True
DLS(100),HORIZ_CHEAP,16,91044,100,433,433,0.08927934900020773,True
DLS(100),HORIZ_CHEAP,17,49851,100,190,190,0.053135608000047796,True
DLS(100),HORIZ_CHEAP,18,42083,99,306,306,0.04059143699987544,True
DLS(100),HORIZ_CHEAP,19,6141,79,187,187,0.005677712999840878,True
DLS(100),HORIZ_CHEAP,20,8587,99,252,252,0.008000234000064665,True
DLS(100),HORIZ_CHEAP,21,90119,21,30,30,0.08819230599965522,True
DLS(100),HORIZ_CHEAP,22,101,100,217,217,0.00012456099966584588,True
DLS(100),HORIZ_CHEAP,23,334,99,243,243,0.00030721200027983286,True
DLS(100),HORIZ_CHEAP,24,109468,0,0,0,0.10706602200025372,False
DLS(100),HORIZ_CHEAP,25,5098,100,244,244,0.004856901000039215,True
DLS(100),HORIZ_CHEAP,26,119527,100,532,532,0.11783170299986523,True
DLS(100),HORIZ_CHEAP,27,1986,99,297,297,0.0017895930000122462,True
DLS(100),HORIZ_CHEAP,28,120143,0,0,0,0.11822097099957318,False
DLS(100),HORIZ_CHEAP,29,107261,0,0,0,0.11043834700012667,False
DLS(100),HORIZ_CHEAP,30,97,96,168,168,0.00012142099967604736,True
SUMMARY_MEAN,HORIZ_CHEAP,,41557.72,95.32,290.44,290.44,0.04101967903994591,
SUMMARY_STD,HORIZ_CHEAP,,43124.6756644221,15.716793566119012,114.11085136830765,114.11085136830765,0.0428638573516837,
Random,HORIZ_CHEAP,1,1047,37,172,172,0.0019452579999779118,True
Random,HORIZ_CHEAP,2,14352,76,166,166,0.02773111800024708,True
Random,HORIZ_CHEAP,3,627,17,62,62,0.0011598979999689618,True
Random,HORIZ_CHEAP,4,11135,71,314,314,0.021437221999804024,True
Random,HORIZ_CHEAP,5,280,10,28,28,0.0005239700003585313,True
Random,HORIZ_CHEAP,6,1219,24,150,150,0.0023302499998862913,True
Random,HORIZ_CHEAP,7,25432,125,971,971,0.04918666499997926,True
Random,HORIZ_CHEAP,8,2987,38,236,236,0.005803246000141371,True
Random,HORIZ_CHEAP,9,528,20,101,101,0.000979938000000402,True
Random,HORIZ_CHEAP,10,11596,86,419,419,0.022333381000407826,True
Random,HORIZ_CHEAP,11,21334,125,539,539,0.04066911900008563,True
Random,HORIZ_CHEAP,12,13646,81,207,207,0.026229650000004767,True
Random,HORIZ_CHEAP,13,8066,60,384,384,0.015561004000119283,True
Random,HORIZ_CHEAP,14,10646,75,435,435,0.020790549000139436,True
Random,HORIZ_CHEAP,15,1297,24,132,132,0.002470576000177971,True
Random,HORIZ_CHEAP,16,4278,34,331,331,0.00815535900028408,True
Random,HORIZ_CHEAP,17,6104,36,108,108,0.01172652500008553,True
Random,HORIZ_CHEAP,18,1038,25,52,52,0.0018974510003317846,True
Random,HORIZ_CHEAP,19,3372,39,129,129,0.006471700000020064,True
Random,HORIZ_CHEAP,20,2791,39,48,48,0.005242132000148558,True
Random,HORIZ_CHEAP,21,978,21,30,30,0.0017671730001893593,True
Random,HORIZ_CHEAP,22,7028,52,169,169,0.013405139000042254,True
Random,HORIZ_CHEAP,23,13163,61,133,133,0.025112152000019705,True
Random,HORIZ_CHEAP,24,28860,157,949,949,0.05507592399999339,True
Random,HORIZ_CHEAP,25,8305,58,148,148,0.01583840200009945,True
Random,HORIZ_CHEAP,26,14041,82,514,514,0.02711909400022705,True
Random,HORIZ_CHEAP,27,1783,35,233,233,0.003388195999832533,True
Random,HORIZ_CHEAP,28,22927,132,573,573,0.04367234100027417,True
Random,HORIZ_CHEAP,29,12018,111,840,840,0.02306651699973372,True
Random,HORIZ_CHEAP,30,433,16,52,52,0.0007994510001481103,True
SUMMARY_MEAN,HORIZ_CHEAP,,8377.033333333333,58.9,287.5,287.5,0.01606298000009095,
SUMMARY_STD,HORIZ_CHEAP,,7982.373775944652,38.675875340234164,260.9340593585539,260.9340593585539,0.015314019982176713,
UCS,HORIZ_CHEAP,1,1979,37,172,172,0.0035091590002593875,True
UCS,HORIZ_CHEAP,2,2244,76,166,166,0.004026606000024913,True
UCS,HORIZ_CHEAP,3,442,17,62,62,0.0007759149998491921,True
UCS,HORIZ_CHEAP,4,5242,71,314,314,0.009894486000121105,True
UCS,HORIZ_CHEAP,5,103,10,28,28,0.0001857809998000448,True
UCS,HORIZ_CHEAP,6,2254,24,150,150,0.004140403000292281,True
UCS,HORIZ_CHEAP,7,9051,125,971,971,0.01664842900026997,True
UCS,HORIZ_CHEAP,8,3777,36,234,234,0.007057789999635133,True
UCS,HORIZ_CHEAP,9,1140,20,101,101,0.001975950000087323,True
UCS,HORIZ_CHEAP,10,5929,86,419,419,0.011186904000169307,True
UCS,HORIZ_CHEAP,11,7871,125,539,539,0.014877735000027315,True
UCS,HORIZ_CHEAP,12,2627,79,187,187,0.004955723999955808,True
UCS,HORIZ_CHEAP,13,6618,60,384,384,0.012484152000070026,True
UCS,HORIZ_CHEAP,14,7542,75,435,435,0.01425100200003726,True
UCS,HORIZ_CHEAP,15,1922,24,132,132,0.003574920000119164,True
UCS,HORIZ_CHEAP,16,5384,34,331,331,0.010332329999982903,True
UCS,HORIZ_CHEAP,17,1313,34,106,106,0.0025294520000898046,True
UCS,HORIZ_CHEAP,18,276,25,52,52,0.00048741699993115617,True
UCS,HORIZ_CHEAP,19,1067,35,89,89,0.0018988850001733226,True
UCS,HORIZ_CHEAP,20,213,39,48,48,0.000382623999939824,True
UCS,HORIZ_CHEAP,21,130,21,30,30,0.000238454999816895,True
UCS,HORIZ_CHEAP,22,2642,52,169,169,0.004928921000100672,True
UCS,HORIZ_CHEAP,23,1155,57,93,93,0.0021216029999777675,True
UCS,HORIZ_CHEAP,24,8529,155,947,947,0.015507257999615831,True
UCS,HORIZ_CHEAP,25,1791,56,128,128,0.003269203999934689,True
UCS,HORIZ_CHEAP,26,7790,82,514,514,0.01459106900028928,True
UCS,HORIZ_CHEAP,27,2296,33,213,213,0.004100536999885662,True
UCS,HORIZ_CHEAP,28,6729,132,573,573,0.012499079999997775,True
UCS,HORIZ_CHEAP,29,8256,111,840,840,0.015174616999956925,True
UCS,HORIZ_CHEAP,30,88,14,32,32,0.00015067300000737305,True
SUMMARY_MEAN,HORIZ_CHEAP,,3546.6666666666665,58.166666666666664,281.96666666666664,281.96666666666664,0.006591902700013937,
SUMMARY_STD,HORIZ_CHEAP,,2977.0047400402677,38.74109216609958,263.95763338502303,263.95763338502303,0.005560785902952439,
A*,UNIFORM,1,278,37,172,37,0.0004875279996667814,True
A*,UNIFORM,2,597,76,166,76,0.0010602699999253673,True
A*,UNIFORM,3,67,17,62,17,0.000123917000109941,True
A*,UNIFORM,4,995,71,314,71,0.0017190000003211026,True
A*,UNIFORM,5,27,10,28,10,5.796799996460322e-05,True
A*,UNIFORM,6,139,24,150,24,0.0002497790001143585,True
A*,UNIFORM,7,2338,125,971,125,0.004273892999663076,True
A*,UNIFORM,8,243,36,234,36,0.00041809399999692687,True
A*,UNIFORM,9,111,20,101,20,0.00019490500017127488,True
