algorithm_name,env_n,size,best_solution,H,states,time
SA,23,8,"[2, 0, 6, 4, 7, 1, 3, 5]",0,1389,0.003415
GA,23,8,"[2, 7, 3, 6, 0, 5, 1, 4]",0,1360,0.013778
random,24,8,"[4, 6, 7, 3, 2, 0, 5, 1]",2,10000,0.032978
HC,24,8,"[0, 3, 6, 2, 7, 5, 1, 4]",2,5,0.000553
SA,24,8,"[0, 4, 7, 5, 2, 6, 1, 3]",0,483,0.001167
GA,24,8,"[2, 5, 7, 0, 4, 6, 1, 3]",0,720,0.007071
random,25,8,"[5, 2, 0, 6, 6, 3, 1, 7]",2,10000,0.033310
HC,25,8,"[0, 2, 6, 1, 1, 7, 5, 3]",1,4,0.000435
SA,25,8,"[6, 2, 0, 5, 7, 4, 1, 3]",0,542,0.001325
GA,25,8,"[6, 2, 7, 2, 0, 3, 1, 4]",1,10000,0.102396
random,26,8,"[7, 0, 4, 1, 5, 2, 6, 3]",1,10000,0.033478
HC,26,8,"[5, 1, 6, 1, 7, 4, 2, 0]",2,5,0.000533
SA,26,8,"[4, 6, 1, 3, 7, 0, 2, 5]",0,872,0.002119
GA,26,8,"[4, 6, 3, 0, 2, 7, 5, 1]",0,720,0.007055
random,27,8,"[4, 2, 0, 3, 1, 7, 5, 2]",1,10000,0.033555
HC,27,8,"[4, 0, 5, 3, 1, 3, 7, 2]",1,4,0.000445
SA,27,8,"[5, 2, 0, 7, 4, 1, 3, 6]",0,513,0.001273
GA,27,8,"[4, 6, 3, 0, 2, 7, 5, 1]",0,1120,0.011313
random,28,8,"[2, 4, 7, 3, 0, 6, 1, 6]",1,10000,0.033028
HC,28,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,6,0.000559
SA,28,8,"[2, 5, 1, 6, 4, 0, 7, 3]",0,576,0.001416
GA,28,8,"[6, 3, 1, 7, 4, 0, 2, 5]",1,10000,0.104250
random,29,8,"[0, 4, 1, 7, 2, 6, 3, 1]",1,10000,0.033551
HC,29,8,"[4, 6, 1, 3, 7, 0, 2, 5]",0,5,0.000440
SA,29,8,"[0, 6, 4, 2, 7, 1, 3, 5]",1,1656,0.004013
GA,29,8,"[3, 1, 7, 5, 0, 2, 4, 6]",0,1840,0.018809
random,30,8,"[2, 0, 2, 7, 5, 3, 1, 4]",1,10000,0.033332
HC,30,8,"[3, 6, 3, 1, 4, 7, 5, 2]",1,4,0.000445
SA,30,8,"[3, 6, 0, 7, 4, 1, 5, 2]",0,469,0.001134
GA,30,8,"[6, 4, 2, 0, 5, 7, 1, 3]",0,3280,0.033576
random,1,10,"[8, 6, 4, 0, 7, 5, 7, 3, 1, 8]",3,10000,0.045651
HC,1,10,"[0, 6, 9, 1, 1, 4, 7, 8, 2, 5]",2,6,0.001561
SA,1,10,"[6, 0, 7, 1, 6, 8, 2, 4, 9, 3]",1,1701,0.005820
GA,1,10,"[6, 7, 3, 1, 8, 4, 9, 0, 2, 5]",1,10000,0.155524
random,2,10,"[8, 1, 5, 7, 0, 4, 3, 9, 6, 4]",2,10000,0.046557
HC,2,10,"[0, 4, 7, 1, 8, 5, 2, 9, 3, 6]",1,5,0.001346
SA,2,10,"[2, 5, 8, 1, 3, 6, 9, 7, 0, 4]",0,1367,0.004707
GA,2,10,"[6, 8, 2, 7, 1, 3, 5, 0, 9, 4]",0,2700,0.043179
random,3,10,"[0, 7, 5, 2, 0, 9, 4, 8, 3, 1]",2,10000,0.046478
HC,3,10,"[8, 0, 4, 7, 9, 6, 1, 5, 2, 5]",2,4,0.001038
SA,3,10,"[3, 8, 6, 2, 0, 5, 1, 4, 9, 7]",0,1313,0.004645
GA,3,10,"[6, 0, 2, 5, 7, 9, 3, 8, 4, 1]",0,10000,0.157732
random,4,10,"[6, 9, 9, 1, 4, 0, 8, 2, 5, 3]",2,10000,0.045924
HC,4,10,"[0, 3, 6, 9, 1, 4, 4, 8, 3, 5]",2,6,0.001608
SA,4,10,"[5, 2, 0, 6, 4, 7, 1, 3, 5, 8]",1,1701,0.005826
GA,4,10,"[7, 1, 4, 8, 0, 9, 3, 5, 2, 4]",1,10000,0.156122
random,5,10,"[4, 9, 0, 8, 1, 0, 6, 1, 7, 5]",3,10000,0.046187
HC,5,10,"[6, 4, 7, 5, 0, 9, 1, 8, 2, 8]",1,6,0.001659
SA,5,10,"[0, 6, 3, 5, 8, 1, 9, 4, 2, 7]",0,1035,0.003709
GA,5,10,"[7, 2, 8, 1, 9, 4, 0, 9, 3, 5]",1,10000,0.157471
random,6,10,"[3, 0, 2, 9, 6, 1, 3, 8, 1, 7]",3,10000,0.046045
HC,6,10,"[7, 5, 0, 3, 7, 0, 2, 6, 9, 1]",3,5,0.001308
SA,6,10,"[0, 3, 8, 6, 1, 9, 2, 5, 7, 4]",0,668,0.002364
GA,6,10,"[7, 5, 3, 6, 9, 0, 4, 1, 8, 2]",1,10000,0.159410
random,7,10,"[0, 5, 1, 8, 6, 8, 9, 1, 4, 7]",3,10000,0.046318
HC,7,10,"[4, 1, 5, 0, 2, 6, 2, 9, 7, 3]",1,4,0.001102
SA,7,10,"[8, 2, 5, 7, 1, 4, 0, 9, 3, 6]",1,1701,0.005846
GA,7,10,"[4, 7, 1, 6, 2, 5, 8, 0, 9, 3]",0,6100,0.097508
random,8,10,"[3, 7, 2, 8, 1, 1, 9, 0, 6, 0]",3,10000,0.045705
HC,8,10,"[0, 7, 5, 8, 2, 9, 3, 6, 4, 1]",0,5,0.001059
SA,8,10,"[0, 7, 1, 6, 8, 2, 4, 9, 3, 5]",0,1585,0.005468
GA,8,10,"[3, 6, 0, 5, 8, 4, 0, 7, 9, 1]",1,10000,0.160543
random,9,10,"[9, 7, 3, 3, 0, 8, 1, 4, 6, 1]",2,10000,0.046028
HC,9,10,"[3, 7, 0, 8, 2, 4, 6, 9, 5, 1]",1,5,0.001383
SA,9,10,"[6, 4, 1, 8, 0, 2, 7, 5, 1, 9]",1,1701,0.006053
GA,9,10,"[1, 8, 5, 7, 9, 0, 2, 4, 6, 3]",0,1300,0.020206
random,10,10,"[2, 8, 6, 1, 9, 7, 4, 0, 3, 5]",2,10000,0.045808
HC,10,10,"[1, 5, 2, 6, 9, 7, 4, 0, 3, 8]",0,6,0.001333
SA,10,10,"[4, 6, 3, 0, 7, 1, 8, 5, 2, 9]",0,965,0.003295
GA,10,10,"[4, 7, 5, 2, 9, 7, 0, 3, 1, 6]",1,10000,0.156309
random,11,10,"[7, 1, 5, 7, 0, 3, 8, 6, 9, 2]",2,10000,0.045922
HC,11,10,"[7, 6, 1, 9, 5, 0, 2, 3, 8, 4]",3,5,0.001358
SA,11,10,"[5, 3, 8, 2, 7, 1, 6, 0, 9, 4]",1,1701,0.005792
GA,11,10,"[2, 7, 9, 3, 8, 0, 4, 6, 1, 5]",0,2100,0.032501
random,12,10,"[2, 7, 0, 8, 5, 2, 9, 6, 4, 1]",2,10000,0.045698
HC,12,10,"[4, 6, 9, 5, 1, 8, 0, 3, 7, 2]",1,6,0.001585
SA,12,10,"[6, 9, 7, 1, 3, 0, 2, 8, 5, 3]",1,1701,0.005735
GA,12,10,"[2, 8, 5, 0, 9, 1, 4, 7, 7, 3]",1,10000,0.158868
random,13,10,"[6, 2, 2, 7, 1, 8, 1, 5, 9, 0]",3,10000,0.046468
HC,13,10,"[3, 6, 8, 1, 5, 9, 0, 6, 4, 2]",1,4,0.001081
SA,13,10,"[6, 0, 9, 1, 4, 7, 3, 8, 2, 5]",0,739,0.002615
GA,13,10,"[4, 9, 4, 2, 5, 8, 1, 7, 0, 3]",1,10000,0.159115
random,14,10,"[5, 3, 8, 4, 1, 9, 6, 2, 7, 0]",2,10000,0.046485
HC,14,10,"[5, 0, 8, 4, 2, 7, 2, 7, 1, 6]",2,5,0.001313
SA,14,10,"[5, 3, 0, 4, 7, 9, 2, 6, 8, 1]",0,829,0.002794
GA,14,10,"[6, 0, 3, 1, 9, 5, 8, 2, 4, 7]",1,10000,0.159152
random,15,10,"[4, 7, 7, 0, 5, 1, 9, 6, 8, 2]",2,10000,0.046176
HC,15,10,"[3, 1, 7, 5, 0, 9, 4, 8, 5, 2]",1,6,0.001626
SA,15,10,"[8, 3, 5, 7, 2, 0, 7, 4, 1, 9]",1,1701,0.005811
GA,15,10,"[2, 5, 9, 4, 1, 8, 6, 3, 0, 7]",0,7700,0.121778
random,16,10,"[5, 2, 0, 6, 4, 2, 1, 3, 7, 9]",3,10000,0.046152
HC,16,10,"[4, 6, 8, 0, 5, 3, 9, 7, 4, 2]",1,6,0.001654
SA,16,10,"[3, 8, 6, 4, 1, 5, 0, 9, 7, 2]",0,996,0.003453
GA,16,10,"[8, 4, 1, 9, 5, 2, 0, 7, 3, 7]",1,10000,0.159944
random,17,10,"[2, 9, 1, 3, 7, 0, 4, 8, 5, 3]",2,10000,0.046142
HC,17,10,"[4, 0, 3, 8, 2, 5, 1, 9, 1, 6]",1,5,0.001307
SA,17,10,"[7, 5, 0, 8, 1, 4, 6, 3, 9, 2]",1,1701,0.005913
GA,17,10,"[2, 8, 3, 7, 9, 1, 5, 0, 6, 9]",1,10000,0.159393
random,18,10,"[1, 3, 6, 8, 4, 1, 9, 0, 2, 7]",2,10000,0.046384
HC,18,10,"[5, 7, 4, 1, 3, 8, 6, 2, 9, 2]",1,6,0.001686
SA,18,10,"[4, 6, 1, 9, 6, 3, 7, 2, 8, 5]",1,1701,0.005885
GA,18,10,"[4, 6, 9, 3, 5, 0, 2, 9, 7, 1]",1,10000,0.159269
random,19,10,"[3, 7, 2, 8, 1, 1, 4, 5, 9, 0]",2,10000,0.045917
HC,19,10,"[7, 5, 2, 9, 1, 6, 4, 8, 0, 0]",2,4,0.001135
SA,19,10,"[6, 2, 7, 1, 3, 0, 9, 4, 8, 5]",0,1264,0.004480
GA,19,10,"[4, 9, 0, 5, 3, 1, 7, 2, 8, 6]",0,8100,0.127864
random,20,10,"[0, 5, 9, 8, 3, 7, 4, 1, 1, 6]",2,10000,0.047092
HC,20,10,"[3, 7, 2, 8, 1, 7, 4, 0, 9, 5]",1,4,0.001027
SA,20,10,"[4, 7, 3, 8, 6, 2, 0, 5, 1, 9]",0,1511,0.005272
GA,20,10,"[1, 4, 6, 8, 2, 7, 1, 3, 5, 0]",1,10000,0.157561
random,21,10,"[6, 6, 0, 5, 8, 4, 7, 3, 8, 2]",2,10000,0.046338
HC,21,10,"[4, 1, 7, 9, 6, 0, 2, 8, 5, 2]",1,6,0.001635
SA,21,10,"[3, 7, 4, 2, 9, 6, 1, 5, 8, 0]",0,1111,0.003843
GA,21,10,"[4, 2, 5, 9, 6, 3, 0, 7, 1, 8]",0,3100,0.049097
random,22,10,"[7, 0, 2, 9, 5, 3, 8, 4, 4, 1]",2,10000,0.045870
HC,22,10,"[3, 6, 8, 2, 5, 9, 0, 1, 4, 7]",1,4,0.001079
SA,22,10,"[2, 5, 7, 1, 3, 0, 6, 4, 9, 1]",1,1701,0.005717
GA,22,10,"[8, 2, 4, 1, 7, 9, 6, 3, 5, 0]",0,9100,0.145431
random,23,10,"[8, 5, 9, 0, 3, 7, 9, 1, 6, 4]",2,10000,0.046247
HC,23,10,"[1, 7, 9, 6, 3, 2, 0, 5, 8, 4]",1,6,0.001661
SA,23,10,"[0, 4, 1, 8, 8, 3, 7, 9, 2, 6]",1,1701,0.005899
GA,23,10,"[3, 8, 8, 1, 4, 6, 0, 9, 7, 5]",1,10000,0.158421
random,24,10,"[0, 9, 5, 0, 1, 4, 7, 8, 6, 3]",3,10000,0.046094
HC,24,10,"[9, 4, 0, 7, 5, 2, 8, 1, 3, 6]",2,3,0.000800
SA,24,10,"[3, 1, 9, 7, 5, 0, 8, 6, 4, 2]",1,1701,0.005641
GA,24,10,"[0, 9, 7, 4, 2, 8, 5, 1, 3, 6]",1,10000,0.158014
random,25,10,"[7, 5, 6, 2, 0, 3, 9, 4, 8, 1]",2,10000,0.046000
HC,25,10,"[8, 2, 5, 6, 0, 7, 4, 1, 3, 9]",2,5,0.001406
SA,25,10,"[9, 6, 3, 0, 2, 7, 5, 1, 8, 4]",0,631,0.002198
GA,25,10,"[7, 1, 5, 0, 9, 4, 2, 8, 6, 3]",1,10000,0.156528
random,26,10,"[6, 3, 1, 4, 7, 9, 2, 5, 9, 0]",2,10000,0.045759
HC,26,10,"[2, 2, 6, 1, 3, 0, 9, 4, 8, 5]",1,4,0.001057
SA,26,10,"[6, 8, 2, 0, 9, 7, 4, 1, 3, 5]",0,566,0.001903
GA,26,10,"[2, 4, 8, 3, 0, 9, 7, 5, 1, 6]",0,2500,0.039849
random,27,10,"[5, 8, 4, 9, 3, 0, 2, 4, 6, 7]",3,10000,0.046140
HC,27,10,"[3, 1, 5, 8, 0, 7, 4, 2, 9, 6]",1,7,0.001807
SA,27,10,"[4, 8, 1, 5, 2, 6, 9, 0, 8, 3]",1,1701,0.005961
GA,27,10,"[8, 3, 0, 6, 9, 2, 5, 7, 4, 1]",0,2300,0.035821
